humidity,temperature,vpr_current_val,vpr_voltage_val,unit1_current_val,unit1_voltage_val
17.56,41.05,1174.05,19.79,202.36,20.37
17.57,41.67,123.81,27.26,255.73,27.97
20.17,43.05,0.00,0.00,5069.71,28.10
14.48,43.62,111.54,24.45,205.61,24.19
12.95,43.5,0.00,0.00,171.70,24.19
15.72,41.94,77.69,17.82,205.12,27.97
15.72,41.94,126.42,26.27,261.08,27.97
12.95,43.16,109.98,24.45,201.72,24.19
17.15,40.69,0.00,0.00,229.26,27.97
14.1,42.09,0.00,0.00,168.06,24.19
17.24,40.65,126.57,26.58,250.26,27.97
14.4,41.64,103.05,24.49,208.51,24.19
17.72,39.4,0.00,0.00,174.45,24.19
21.22,37.77,123.49,27.35,246.02,27.97
17.85,39.4,99.39,24.47,203.67,24.19
18.2,39.13,0.00,0.00,170.92,24.19
21.5,37.5,124.85,27.35,263.11,27.97
19.33,38.4,110.60,24.29,199.09,24.19
19.58,38.2,0.00,0.00,165.74,24.19
22.95,36.51,124.88,26.33,257.48,27.97
20.21,37.74,114.94,24.97,198.22,24.19
25.36,35.18,0.00,0.00,220.76,27.97
22.32,36.36,0.00,0.00,198.22,24.19
25.4,35.16,123.60,26.06,248.52,27.97
22.48,36.18,112.64,24.43,198.57,24.19
22.52,35.66,0.00,0.00,198.57,24.19
25.98,34.59,120.79,27.77,246.13,27.97
22.79,35.38,99.11,23.59,198.97,24.19
26.89,33.88,0.00,0.00,230.07,27.97
23.29,35.01,0.00,0.00,198.97,24.19
27.02,33.79,121.93,27.32,254.83,27.97
23.75,34.6,114.11,25.47,192.16,24.19
27.55,30.77,0.00,0.00,228.64,24.19
30.86,29.16,55.40,27.36,229.57,27.97
27.63,30.62,100.16,24.51,208.17,24.19
27.95,30.41,0.00,0.00,173.02,24.19
31.11,28.93,0.00,0.00,230.00,27.97
31.14,28.89,121.85,27.21,264.15,27.97
28.08,30.3,111.02,24.27,202.57,24.19
29.66,29.42,0.00,0.00,202.57,24.19
33.21,27.96,0.00,0.00,237.59,27.97
33.25,27.95,116.36,26.46,262.30,27.97
29.74,29.3,0.00,0.00,169.09,24.19
29.77,29.26,119.27,25.42,210.11,24.19
36.25,26.99,0.00,0.00,231.07,27.97
30.49,28.71,0.00,0.00,216.97,24.19
36.44,26.96,120.41,27.08,259.85,27.97
30.85,28.58,114.86,25.54,216.97,24.19
32.34,27.89,0.00,0.00,216.36,24.19
38.96,25.78,120.87,26.97,262.78,27.97
32.72,27.7,114.99,24.45,216.36,24.19
41.99,24.34,0.00,0.00,233.78,27.97
35.89,26.34,0.00,0.00,216.36,24.19
42.18,24.31,122.24,26.57,260.61,27.97
36.04,26.19,108.22,24.64,211.45,24.19
36.0,25.95,0.00,0.00,215.16,24.19
42.53,23.87,76.49,26.96,233.24,27.97
36.06,25.91,0.00,0.00,215.16,24.19
36.1,25.88,108.47,25.12,215.16,24.19
36.49,25.77,0.00,0.00,207.96,24.19
44.59,23.47,115.39,26.92,269.33,27.97
36.73,25.68,103.81,24.78,207.96,24.19
37.26,25.51,0.00,0.00,233.37,24.19
46.23,23.01,0.00,0.00,232.31,27.97
46.35,23.01,115.93,26.85,276.84,27.97
37.65,25.47,111.61,24.13,224.30,24.19
46.72,22.88,0.00,0.00,234.12,27.97
37.68,25.47,0.00,0.00,224.30,24.19
46.81,22.88,121.39,26.58,285.85,27.97
47.72,22.32,0.00,0.00,241.77,27.97
38.16,25.07,0.00,0.00,218.84,24.19
47.8,22.31,126.15,27.78,266.71,27.97
38.51,25.03,114.21,24.63,264.02,24.19
48.38,22.06,0.00,0.00,237.17,27.97
38.86,24.89,0.00,0.00,221.18,24.19
48.62,22.04,121.59,26.48,258.23,27.97
39.17,24.83,114.13,24.34,221.18,24.19
39.45,24.71,0.00,0.00,221.18,24.19
50.4,21.74,120.13,26.23,261.24,27.97
39.57,24.72,114.12,24.69,260.69,24.19
39.55,24.72,0.00,0.00,216.31,24.19
50.43,21.73,87.11,27.69,234.75,27.97
39.62,24.73,104.72,25.63,261.94,24.19
50.71,21.55,0.00,0.00,238.53,27.97
40.68,24.42,0.00,0.00,217.75,24.19
51.1,21.51,127.15,26.05,265.84,27.97
41.05,24.31,111.05,24.30,217.75,24.19
51.39,21.42,0.00,0.00,236.82,27.97
40.94,24.28,0.00,0.00,217.75,24.19
51.6,21.39,122.05,26.53,268.11,27.97
41.02,24.24,110.43,24.65,217.75,24.19
51.72,20.99,0.00,0.00,238.22,27.97
51.99,20.96,118.36,26.87,274.01,27.97
41.8,23.85,115.88,24.64,271.73,24.19
52.34,20.79,0.00,0.00,245.43,27.97
52.58,20.77,119.23,26.83,278.16,27.97
42.15,23.71,0.00,0.00,224.85,24.19
42.21,23.67,106.68,25.71,224.85,24.19
53.68,20.01,0.00,0.00,242.93,27.97
43.01,23.02,0.00,0.00,224.85,24.19
53.8,19.96,123.43,26.54,267.83,27.97
43.3,22.94,112.87,24.10,223.59,24.19
43.69,22.72,0.00,0.00,223.59,24.19
54.55,19.63,127.74,26.37,270.10,27.97
44.08,22.68,117.00,23.82,260.34,24.19
56.11,19.68,0.00,0.00,240.60,27.97
45.45,22.76,0.00,0.00,205.81,24.19
56.18,19.74,121.93,26.27,270.51,27.97
45.59,22.88,109.38,24.71,232.62,24.19
56.5,20.03,0.00,0.00,238.59,27.97
56.5,20.06,122.25,26.30,264.57,27.97
45.4,23.34,114.35,24.24,194.93,24.19
41.72,29.56,0.00,0.00,233.58,27.97
41.65,29.67,123.08,26.68,257.40,27.97
39.24,30.74,0.00,0.00,231.52,27.97
32.77,32.85,0.00,0.00,180.62,24.19
38.99,30.87,123.18,26.57,261.10,27.97
32.11,33.32,113.65,24.50,210.86,24.19
30.23,34.91,0.00,0.00,210.86,24.19
35.75,32.93,124.87,26.14,259.87,27.97
